cnpj,input_company,setor,subsetor,segmento,cnae_primario,cnae_descricao,cnae_secundarios,source,confidence,cnae_secundarios_norm,cnae_secundarios_descricao,cnae_secundarios_pairs,cnae7,setor_progest,subsetor_progest,segmento_progest
00000000000191,BCO BRASIL S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6422,6422100,"Bancos múltiplos, com carteira comercial",6499999,RFB_estab,0.6,6499999,Outras atividades de serviços financeiros não especificadas anteriormente,6499999 — Outras atividades de serviços financeiros não especificadas anteriormente,6422100,Serviços Financeiros,Bancos,Bancos Comerciais
00000208000100,BRB BANCO DE BRASILIA S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6422,6422100,"Bancos múltiplos, com carteira comercial",,RFB_estab,0.6,,,,6422100,Serviços Financeiros,Bancos,Bancos Comerciais
00001180000126,CENTRAIS ELET BRAS S.A. - ELETROBRAS,D — ELETRICIDADE E GÁS,Divisão 35,Classe 3512,3512300,Transmissão de energia elétrica,,RFB_estab,0.9,,,,3512300,Energia & Gás,Energia Elétrica,Transmissão
00070698000111,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,4299599,RFB_estab,0.9,4299599,Outras obras de engenharia civil não especificadas anteriormente,4299599 — Outras obras de engenharia civil não especificadas anteriormente,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
00080671000100,CARAMURU ALIMENTOS S.A.,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 10,Classe 1042,1042200,"Fabricação de óleos vegetais refinados, exceto óleo de milho","0141501,0210101,0210107,1041400,1064300,1065101,1065102,1065103,1066000,1069400,1099699,3511501,3513100,3821100,4622200,4623106,4623108,4623109,4623199,4632001,4632002,4632003,4637103,4637199,4639701,4639702,4683400,4691500,4692300,4693100,6399200",RFB_estab,0.9,0141501 | 0210101 | 0210107 | 1041400 | 1064300 | 1065101 | 1065102 | 1065103 | 1066000 | 1069400 | 1099699 | 3511501 | 3513100 | 3821100 | 4622200 | 4623106 | 4623108 | 4623109 | 4623199 | 4632001 | 4632002 | 4632003 | 4637103 | 4637199 | 4639701 | 4639702 | 4683400 | 4691500 | 4692300 | 4693100 | 6399200,"Produção de sementes certificadas, exceto de forrageiras para pasto | Cultivo de eucalipto | Extração de madeira em florestas plantadas | Fabricação de óleos vegetais em bruto, exceto óleo de milho | Fabricação de farinha de milho e derivados, exceto óleos de milho | Fabricação de amidos e féculas de vegetais | Fabricação de óleo de milho em bruto | Fabricação de óleo de milho refinado | Fabricação de alimentos para animais | Moagem e fabricação de produtos de origem vegetal não especificados anteriormente | Fabricação de outros produtos alimentícios não especificados anteriormente | Geração de energia elétrica | Comércio atacadista de energia elétrica | Tratamento e disposição de resíduos não perigosos | Comércio atacadista de soja | Comércio atacadista de sementes, flores, plantas e gramas | Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada | Comércio atacadista de alimentos para animais | Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente | Comércio atacadista de cereais e leguminosas beneficiados | Comércio atacadista de farinhas, amidos e féculas | Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada | Comércio atacadista de óleos e gorduras | Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente | Comércio atacadista de produtos alimentícios em geral | Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada | Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo | Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios | Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários | Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários | Outras atividades de prestação de serviços de informação não especificadas anteriormente","0141501 — Produção de sementes certificadas, exceto de forrageiras para pasto | 0210101 — Cultivo de eucalipto | 0210107 — Extração de madeira em florestas plantadas | 1041400 — Fabricação de óleos vegetais em bruto, exceto óleo de milho | 1064300 — Fabricação de farinha de milho e derivados, exceto óleos de milho | 1065101 — Fabricação de amidos e féculas de vegetais | 1065102 — Fabricação de óleo de milho em bruto | 1065103 — Fabricação de óleo de milho refinado | 1066000 — Fabricação de alimentos para animais | 1069400 — Moagem e fabricação de produtos de origem vegetal não especificados anteriormente | 1099699 — Fabricação de outros produtos alimentícios não especificados anteriormente | 3511501 — Geração de energia elétrica | 3513100 — Comércio atacadista de energia elétrica | 3821100 — Tratamento e disposição de resíduos não perigosos | 4622200 — Comércio atacadista de soja | 4623106 — Comércio atacadista de sementes, flores, plantas e gramas | 4623108 — Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada | 4623109 — Comércio atacadista de alimentos para animais | 4623199 — Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente | 4632001 — Comércio atacadista de cereais e leguminosas beneficiados | 4632002 — Comércio atacadista de farinhas, amidos e féculas | 4632003 — Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada | 4637103 — Comércio atacadista de óleos e gorduras | 4637199 — Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente | 4639701 — Comércio atacadista de produtos alimentícios em geral | 4639702 — Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada | 4683400 — Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo | 4691500 — Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios | 4692300 — Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários | 4693100 — Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários | 6399200 — Outras atividades de prestação de serviços de informação não especificadas anteriormente",1042200,Manufatura,Bens Industriais,Atividade Principal
00095147000102,VBC ENERGIA SA,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"7020400,6810201",RFB_estab,0.9,7020400 | 6810201,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | Compra e venda de imóveis próprios","7020400 — Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | 6810201 — Compra e venda de imóveis próprios",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
00108786000165,NET SERVIÇOS DE COMUNICAÇÃO S.A.,N — ADM. E SERVIÇOS COMPLEMENTARES,Divisão 82,Classe 8299,8299799,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,"6141800,6142600,6143400",RFB_estab,0.9,6141800 | 6142600 | 6143400,Operadoras de televisão por assinatura por cabo | Operadoras de televisão por assinatura por micro-ondas | Operadoras de televisão por assinatura por satélite,6141800 — Operadoras de televisão por assinatura por cabo | 6142600 — Operadoras de televisão por assinatura por micro-ondas | 6143400 — Operadoras de televisão por assinatura por satélite,8299799,Serviços Administrativos,Serviços Administrativos,Atividade Principal
00194724000113,AUREN OPERAÇÕES S.A.,D — ELETRICIDADE E GÁS,Divisão 35,Classe 3511,3511501,Geração de energia elétrica,"4221902,4321500,4399101,4789099,6440900,6462000,7112000,7210000,7490199,7732201,7820500",RFB_estab,0.9,4221902 | 4321500 | 4399101 | 4789099 | 6440900 | 6462000 | 7112000 | 7210000 | 7490199 | 7732201 | 7820500,"Construção de estações e redes de distribuição de energia elétrica | Instalação e manutenção elétrica | Administração de obras | Comércio varejista de outros produtos não especificados anteriormente | Arrendamento mercantil | Holdings de instituições não financeiras | Serviços de engenharia | Pesquisa e desenvolvimento experimental em ciências físicas e naturais | Outras atividades profissionais, científicas e técnicas não especificadas anteriormente | Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes | Locação de mão de obra temporária","4221902 — Construção de estações e redes de distribuição de energia elétrica | 4321500 — Instalação e manutenção elétrica | 4399101 — Administração de obras | 4789099 — Comércio varejista de outros produtos não especificados anteriormente | 6440900 — Arrendamento mercantil | 6462000 — Holdings de instituições não financeiras | 7112000 — Serviços de engenharia | 7210000 — Pesquisa e desenvolvimento experimental em ciências físicas e naturais | 7490199 — Outras atividades profissionais, científicas e técnicas não especificadas anteriormente | 7732201 — Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes | 7820500 — Locação de mão de obra temporária",3511501,Energia & Gás,Energia Elétrica,Geração
00242184000104,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",N — ADM. E SERVIÇOS COMPLEMENTARES,Divisão 77,Classe 7732,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes","0210107,0220901,0230600,3314712,3314717,3600601,3600602,4399199,4530703,4614100,4930202,4930203,5212500,5231102,6619302,7311400,7719599,7820500,8121400,8129000,8599604",RFB_estab,0.9,0210107 | 0220901 | 0230600 | 3314712 | 3314717 | 3600601 | 3600602 | 4399199 | 4530703 | 4614100 | 4930202 | 4930203 | 5212500 | 5231102 | 6619302 | 7311400 | 7719599 | 7820500 | 8121400 | 8129000 | 8599604,"Extração de madeira em florestas plantadas | Extração de madeira em florestas nativas | Atividades de apoio à produção florestal | Manutenção e reparação de tratores agrícolas | Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores | Captação, tratamento e distribuição de água | Distribuição de água por caminhões | Serviços especializados para construção não especificados anteriormente | Comércio a varejo de peças e acessórios novos para veículos automotores | Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves | Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | Transporte rodoviário de produtos perigosos | Carga e descarga | Atividades do Operador Portuário | Correspondentes de instituições financeiras | Agências de publicidade | Locação de outros meios de transporte não especificados anteriormente, sem condutor | Locação de mão de obra temporária | Limpeza em prédios e em domicílios | Atividades de limpeza não especificadas anteriormente | Treinamento em desenvolvimento profissional e gerencial","0210107 — Extração de madeira em florestas plantadas | 0220901 — Extração de madeira em florestas nativas | 0230600 — Atividades de apoio à produção florestal | 3314712 — Manutenção e reparação de tratores agrícolas | 3314717 — Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores | 3600601 — Captação, tratamento e distribuição de água | 3600602 — Distribuição de água por caminhões | 4399199 — Serviços especializados para construção não especificados anteriormente | 4530703 — Comércio a varejo de peças e acessórios novos para veículos automotores | 4614100 — Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves | 4930202 — Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | 4930203 — Transporte rodoviário de produtos perigosos | 5212500 — Carga e descarga | 5231102 — Atividades do Operador Portuário | 6619302 — Correspondentes de instituições financeiras | 7311400 — Agências de publicidade | 7719599 — Locação de outros meios de transporte não especificados anteriormente, sem condutor | 7820500 — Locação de mão de obra temporária | 8121400 — Limpeza em prédios e em domicílios | 8129000 — Atividades de limpeza não especificadas anteriormente | 8599604 — Treinamento em desenvolvimento profissional e gerencial",7732201,Serviços Administrativos,Serviços Administrativos,Atividade Principal
00249786000185,FORPART S.A. - EM LIQUIDAÇÃO,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
00336701000104,TELEC BRASILEIRAS S.A. TELEBRAS,J — INFORMAÇÃO E COMUNICAÇÃO,Divisão 61,Classe 6110,6110803,Serviços de comunicação multimídia - SCM,"6130200,6190601,6190602,6190699,6209100,6311900",RFB_estab,0.9,6130200 | 6190601 | 6190602 | 6190699 | 6209100 | 6311900,"Telecomunicações por satélite | Provedores de acesso às redes de comunicações | Provedores de voz sobre protocolo Internet - VOIP | Outras atividades de telecomunicações não especificadas anteriormente | Suporte técnico, manutenção e outros serviços em tecnologia da informação | Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet","6130200 — Telecomunicações por satélite | 6190601 — Provedores de acesso às redes de comunicações | 6190602 — Provedores de voz sobre protocolo Internet - VOIP | 6190699 — Outras atividades de telecomunicações não especificadas anteriormente | 6209100 — Suporte técnico, manutenção e outros serviços em tecnologia da informação | 6311900 — Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet",6110803,"Tecnologia, Mídia & Telecom",Telecom,Serviços de Telecom
00354053000100,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,G — COMÉRCIO; REPARAÇÃO DE VEÍCULOS,Divisão 47,Classe 4753,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,"4759899,6821802,6810202,6822600,8299799",RFB_estab,0.9,4759899 | 6821802 | 6810202 | 6822600 | 8299799,Comércio varejista de outros artigos de uso doméstico não especificados anteriormente | Corretagem no aluguel de imóveis | Aluguel de imóveis próprios | Gestão e administração da propriedade imobiliária | Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,4759899 — Comércio varejista de outros artigos de uso doméstico não especificados anteriormente | 6821802 — Corretagem no aluguel de imóveis | 6810202 — Aluguel de imóveis próprios | 6822600 — Gestão e administração da propriedade imobiliária | 8299799 — Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,4753900,Comércio,Comércio,Atividade Principal
00357038000116,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.,D — ELETRICIDADE E GÁS,Divisão 35,Classe 3511,3511501,Geração de energia elétrica,"3512300,3513100,3514000,4221904,4221905,6110803,6190699,7112000,7120100,7490199,8299799",RFB_estab,0.9,3512300 | 3513100 | 3514000 | 4221904 | 4221905 | 6110803 | 6190699 | 7112000 | 7120100 | 7490199 | 8299799,"Transmissão de energia elétrica | Comércio atacadista de energia elétrica | Distribuição de energia elétrica | Construção de estações e redes de telecomunicações | Manutenção de estações e redes de telecomunicações | Serviços de comunicação multimídia - SCM | Outras atividades de telecomunicações não especificadas anteriormente | Serviços de engenharia | Testes e análises técnicas | Outras atividades profissionais, científicas e técnicas não especificadas anteriormente | Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente","3512300 — Transmissão de energia elétrica | 3513100 — Comércio atacadista de energia elétrica | 3514000 — Distribuição de energia elétrica | 4221904 — Construção de estações e redes de telecomunicações | 4221905 — Manutenção de estações e redes de telecomunicações | 6110803 — Serviços de comunicação multimídia - SCM | 6190699 — Outras atividades de telecomunicações não especificadas anteriormente | 7112000 — Serviços de engenharia | 7120100 — Testes e análises técnicas | 7490199 — Outras atividades profissionais, científicas e técnicas não especificadas anteriormente | 8299799 — Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente",3511501,Energia & Gás,Energia Elétrica,Geração
00359742000108,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"0155501,0155502,0155503,0155504,0155505,0163600,1011201,1012101,1066000,1091101,4623101,4623108,4623199,4633802,4634601,4634602,4634603,4637105,4637199,4711302,4722901,4724500,4930202,5211701,5211799,7020400",RFB_estab,0.9,0155501 | 0155502 | 0155503 | 0155504 | 0155505 | 0163600 | 1011201 | 1012101 | 1066000 | 1091101 | 4623101 | 4623108 | 4623199 | 4633802 | 4634601 | 4634602 | 4634603 | 4637105 | 4637199 | 4711302 | 4722901 | 4724500 | 4930202 | 5211701 | 5211799 | 7020400,"Criação de frangos para corte | Produção de pintos de um dia | Criação de outros galináceos, exceto para corte | Criação de aves, exceto galináceos | Produção de ovos | Atividades de pós-colheita | Frigorífico - abate de bovinos | Abate de aves | Fabricação de alimentos para animais | Fabricação de produtos de panificação industrial | Comércio atacadista de animais vivos | Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada | Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente | Comércio atacadista de aves vivas e ovos | Comércio atacadista de carnes bovinas e suínas e derivados | Comércio atacadista de aves abatidas e derivados | Comércio atacadista de pescados e frutos do mar | Comércio atacadista de massas alimentícias | Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente | Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados | Comércio varejista de carnes - açougues | Comércio varejista de hortifrutigranjeiros | Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | Armazéns gerais - emissão de warrant | Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","0155501 — Criação de frangos para corte | 0155502 — Produção de pintos de um dia | 0155503 — Criação de outros galináceos, exceto para corte | 0155504 — Criação de aves, exceto galináceos | 0155505 — Produção de ovos | 0163600 — Atividades de pós-colheita | 1011201 — Frigorífico - abate de bovinos | 1012101 — Abate de aves | 1066000 — Fabricação de alimentos para animais | 1091101 — Fabricação de produtos de panificação industrial | 4623101 — Comércio atacadista de animais vivos | 4623108 — Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada | 4623199 — Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente | 4633802 — Comércio atacadista de aves vivas e ovos | 4634601 — Comércio atacadista de carnes bovinas e suínas e derivados | 4634602 — Comércio atacadista de aves abatidas e derivados | 4634603 — Comércio atacadista de pescados e frutos do mar | 4637105 — Comércio atacadista de massas alimentícias | 4637199 — Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente | 4711302 — Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados | 4722901 — Comércio varejista de carnes - açougues | 4724500 — Comércio varejista de hortifrutigranjeiros | 4930202 — Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | 5211701 — Armazéns gerais - emissão de warrant | 5211799 — Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | 7020400 — Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
00389481000179,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.,N — ADM. E SERVIÇOS COMPLEMENTARES,Divisão 77,Classe 7711,7711000,Locação de automóveis sem condutor,,RFB_estab,0.9,,,,7711000,Serviços Administrativos,Serviços Administrativos,Atividade Principal
